id,item,sub-trait,big-five-trait,reverse
92,I keep others at a distance.,Friendliness,Extraversion,reverse
93,I like to get lost in thought.,Imagination,Openness,
94,I distrust people.,Trust,Agreeableness,reverse
95,I know how to get things done.,Self-Efficacy,Conscientiousness,
96,I am not easily annoyed.,Anger,Neuroticism,reverse
97,I avoid crowds.,Gregariousness,Extraversion,reverse
98,I do not enjoy going to art museums.,Artistic Interests,Openness,reverse
99,I obstruct others' plans.,Morality,Agreeableness,reverse
100,I leave my belongings around.,Orderliness,Conscientiousness,reverse
101,I feel comfortable with myself.,Depression,Neuroticism,reverse
102,I wait for others to lead the way.,Assertiveness,Extraversion,reverse
103,I don't understand people who get emotional.,Emotionality,Openness,reverse
104,I take no time for others.,Altruism,Agreeableness,reverse
105,I break my promises.,Dutifulness,Conscientiousness,reverse
106,I am not bothered by difficult social situations.,Self-Consciousness,Neuroticism,reverse
107,I like to take it easy.,Activity Level,Extraversion,reverse
108,I am attached to conventional ways.,Adventurousness,Openness,reverse
109,I get back at others.,Cooperation,Agreeableness,reverse
110,I put little time and effort into my work.,Achievement Striving,Conscientiousness,reverse
111,I am able to control my cravings.,Immoderation,Neuroticism,reverse
112,I act wild and crazy.,Excitement Seeking,Extraversion,
113,I am not interested in theoretical discussions.,Intellect,Openness,reverse
114,I boast about my virtues.,Modesty,Agreeableness,reverse
115,I have difficulty starting tasks.,Self-Discipline,Conscientiousness,reverse
116,I remain calm under pressure.,Vulnerability,Neuroticism,reverse
117,I look at the bright side of life.,Cheerfulness,Extraversion,
118,I believe that we should be tough on crime.,Liberalism,Openness,reverse
119,I try not to think about the needy.,Sympathy,Agreeableness,reverse
120,I act without thinking.,Cautiousness,Conscientiousness,reverse
